,goodreads_book_id,book_id,book_title,book_series,authors,average_rating,work_ratings_count,main_genre,sec_genre
415007,174879,7998,On Becoming a Person: A Therapist's View of Psychotherapy,,"Carl R. Rogers, Peter D. Kramer",4.11,10370,classic,0
415101,175004,3089,Eagle Strike,Alex Rider,Anthony Horowitz,4.11,38844,young adult,adventure
415208,175078,9587,The Seven Storey Mountain,,"Thomas Merton, Robert Giroux, William H. Shannon",4.16,10241,classic,classic
415310,175113,8083,The Return of the Prodigal Son: A Story of Homecoming,,Henri J.M. Nouwen,4.38,12111,classic,classic
415401,175242,6376,Every Dead Thing,Charlie Parker,John Connolly,4.01,16618,mystery,thriller
415501,175319,7012,Methuselah's Children,,Robert A. Heinlein,3.98,15995,science-fiction,science-fiction
415601,175324,7476,Double Star,,Robert A. Heinlein,3.88,15787,science-fiction,science-fiction
415710,175510,1721,My Utmost for His Highest,,Oswald Chambers,4.39,50738,classic,classic
415801,175516,5389,The Fall of the House of Usher,,Edgar Allan Poe,3.92,28453,classic,horror
415912,175675,3643,Ragtime,,E.L. Doctorow,3.88,30434,historical,classic
416001,175983,3174,Memories of Ice,The Malazan Book of the Fallen,Steven Erikson,4.39,33291,fantasy,sci-fi-fantasy
416101,176326,8173,The Problem Child,The Sisters Grimm,"Michael Buckley, Peter Ferguson",4.27,16131,fantasy,mystery
416201,176327,3316,The Fairy-Tale Detectives,The Sisters Grimm,"Michael Buckley, Peter Ferguson",4.01,40754,fantasy,mystery
416301,176788,8103,Arrow's Flight,Heralds of Valdemar,Mercedes Lackey,4.13,17884,fantasy,sci-fi-fantasy
416414,176839,3293,One True Thing,,Anna Quindlen,4.01,32454,chick lit,drama
416501,176892,9653,The Elvenbane,Halfblood Chronicles,"Andre Norton, Mercedes Lackey",3.94,13271,fantasy,sci-fi-fantasy
416601,177515,9070,The Ice Queen,,Alice Hoffman,3.51,14141,fantasy,romance
416723,178357,2579,SantaLand Diaries,,David Sedaris,4.33,38509,humor,humor
416801,178476,3437,Slave to Sensation,Psy-Changeling #1),Nalini Singh,4.12,48116,paranormal,romance
416908,178599,5802,Arsenic and Old Lace,,Joseph Kesselring,4.14,20717,classic,drama
417034,178788,5070,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",,"T. Colin Campbell, Thomas M. Campbell II",4.21,18454,history,0
417117,178813,5355,Trading Up,,Candace Bushnell,3.2,17217,chick lit,romance
417201,179033,8401,"The Chronicles of Thomas Covenant, the Unbeliever",The Chronicles of Thomas Covenant the Unbeliever,Stephen R. Donaldson,3.78,12330,fantasy,sci-fi-fantasy
417301,179064,1175,The Goose Girl,The Books of Bayern,Shannon Hale,4.18,97013,fantasy,young adult
417410,179142,7333,All My Sons,,"Arthur Miller, Christopher Bigsby",3.87,16124,classic,drama
417501,179174,9664,The Secret of the Unicorn,Tintin,Hergé,4.26,10820,children,children
417639,179264,7599,The Madonnas of Leningrad,,Debra Dean,3.77,13964,historical,historical
417701,179565,9532,The Marvelous Land of Oz,Oz,"L. Frank Baum, David McKee",3.82,14831,classic,classic
417818,179735,6592,The Girl Next Door,,Jack Ketchum,3.95,15793,horror,thriller
417901,179780,731,The Exorcist,,William Peter Blatty,4.14,130575,horror,classic
418003,180066,2363,Beautiful Boy: A Father's Journey Through His Son's Addiction,,David Sheff,4.03,38205,young adult,children
418201,180426,6269,Dark Desire,Dark,Christine Feehan,4.2,23755,romance,paranormal
418310,180463,5675,Leadership and Self-Deception: Getting Out of the Box,,The Arbinger Institute,4.11,15706,classic,0
418401,180617,1996,Pinocchio,,"Carlo Collodi, John Boyne, Monteiro Lobato, Unknown",3.86,55985,children,children
418505,180930,7332,Wicca: A Guide for the Solitary Practitioner,,Scott Cunningham,4.01,12770,fantasy,0
418603,181077,7806,Sadako and the Thousand Paper Cranes,,"Eleanor Coerr, Ronald Himler",4.09,16161,historical,children
418715,181116,5299,Monday Mourning,Temperance Brennan,Kathy Reichs,4.02,25090,mystery,thriller
418901,181400,8213,The Tale of Three Trees,,"Angela Elwell Hunt, Tim Jonke",4.52,13393,children,children
419001,181601,5590,If You Give a Pig a Party,,"Laura Joffe Numeroff, Felicia Bond",4.22,18394,children,children
419101,181886,4519,Ancestors of Avalon,Avalon,"Diana L. Paxson, Marion Zimmer Bradley",3.89,22025,fantasy,historical
419218,182012,4794,Indelible,Grant County,Karin Slaughter,4.19,23634,mystery,crime
419310,182381,4219,Cranford,,Elizabeth Gaskell,3.85,29034,classic,classic
419401,182425,2657,False Memory,,Dean Koontz,3.87,38019,horror,thriller
419511,182496,3971,Evergreen,,Belva Plain,3.98,24231,historical,romance
419603,182683,9617,Fame,Firstborn,Karen Kingsbury,4.34,11011,romance,drama
419708,183092,9986,Night Light,Restoration #2),Terri Blackstock,4.35,8862,mystery,suspense
419901,183656,2642,The Two Princesses of Bamarre,,Gail Carson Levine,4.02,57531,fantasy,young adult
420001,183660,3132,Fairest,,Gail Carson Levine,3.86,52327,fantasy,young adult
420101,183822,3668,Sandstorm,Sigma Force,James Rollins,3.94,32954,thriller,adventure
420201,184040,5173,"Y: The Last Man, Vol. 4: Safeword",Y: The Last Man,"Brian K. Vaughan, Pia Guerra, Goran Parlov, José Marzán Jr.",4.25,22487,science-fiction,science-fiction
420301,184324,8076,Dark Demon,Dark,Christine Feehan,4.34,16622,paranormal,romance
420401,184419,5088,The Man Who Was Thursday: A Nightmare,,"G.K. Chesterton, Jonathan Lethem",3.85,23056,classic,mystery
420608,184655,2920,Transfer of Power,Mitch Rapp,Vince Flynn,4.31,33735,thriller,thriller
420708,184657,2622,Memorial Day,Mitch Rapp,Vince Flynn,4.3,34797,thriller,thriller
420808,184661,3470,The Third Option,Mitch Rapp,Vince Flynn,4.26,28774,thriller,action
420915,184850,7637,Virgin River,Virgin River,Robyn Carr,4.12,19555,romance,chick lit
421009,185012,7386,Doubt,,John Patrick Shanley,4.13,14611,drama,classic
421101,185253,5560,The Magic of Recluce,The Saga of Recluce #1),L.E. Modesitt Jr.,3.84,19809,fantasy,fantasy
421201,185289,8729,Dragon Prince,Dragon Prince,Melanie Rawn,3.94,13416,fantasy,romance
421316,185911,2014,When the Bough Breaks,Alex Delaware,Jonathan Kellerman,4.02,50189,mystery,crime
421401,186074,192,The Name of the Wind,The Kingkiller Chronicle,Patrick Rothfuss,4.55,449372,fantasy,fantasy
421501,186103,6733,Peeps,Peeps,Scott Westerfeld,3.77,22514,young adult,young adult
421601,186190,2023,Forrest Gump,Forrest Gump,Winston Groom,4.06,49345,humor,historical
421701,186669,6838,Brilliance of the Moon,Tales of the Otori,Lian Hearn,4.04,15593,fantasy,historical
421811,187020,948,Empire Falls,,Richard Russo,3.91,93054,drama,classic
421901,187049,6218,"From the Two Rivers: The Eye of the World, Part 1",Wheel of time,Robert Jordan,4.26,14317,fantasy,sci-fi-fantasy
422001,187065,2056,New Spring,Wheel of Time,Robert Jordan,4.01,57444,fantasy,sci-fi-fantasy
422101,187124,4944,Running with the Demon,Word & Void,Terry Brooks,3.95,22827,fantasy,fantasy
422203,187181,1465,The Chosen,,Chaim Potok,4.03,73070,classic,historical
422309,187633,1777,Art and Fear: Observations on the Perils,and Rewards) of Artmaking,"David Bayles, Ted Orland",3.67,48226,classic,0
422401,187811,2684,Shadowland,The Mediator,Meg Cabot,4.04,54526,young adult,paranormal
422501,187812,4087,Avalon High,,Meg Cabot,3.8,39658,young adult,fantasy
422610,188230,2857,Crocodile on the Sandbank,Amelia Peabody #1),Elizabeth Peters,4.02,46927,mystery,historical
422710,188572,769,The Complete Sherlock Holmes,,Arthur Conan Doyle,4.5,126558,classic,mystery
422801,189147,4753,To Your Scattered Bodies Go,Riverworld,Philip José Farmer,3.94,23991,science-fiction,science-fiction
422901,189182,3232,The Story About Ping,,"Marjorie Flack, Kurt Wiese",4.15,36740,children,children
423001,189783,1918,The Elfstones of Shannara ,The Original Shannara Trilogy,Terry Brooks,3.96,55544,fantasy,sci-fi-fantasy
423101,189802,1686,Belgarath the Sorcerer,,"David Eddings, Leigh Eddings",4.07,61087,fantasy,sci-fi-fantasy
423201,189811,2811,King of the Murgos,The Malloreon,David Eddings,4.1,43122,fantasy,sci-fi-fantasy
423306,190115,6894,Sacred Contracts: Awakening Your Divine Potential,,Caroline Myss,3.97,12481,children,0
423403,190344,9671,First Term at Malory Towers,Malory Towers,Enid Blyton,4.07,11994,children,children
423501,190361,2605,Obsidian Butterfly,Anita Blake,Laurell K. Hamilton,4.08,54248,fantasy,paranormal
423601,190999,8081,Way Station,,Clifford D. Simak,4.03,15116,science-fiction,science-fiction
423701,191113,1781,Don't Let the Pigeon Drive the Bus!,,Mo Willems,4.29,62247,children,children
423801,191117,5400,Don't Let the Pigeon Stay Up Late!,,Mo Willems,4.35,25667,children,children
423901,191139,358,"Oh, The Places You'll Go!",,Dr. Seuss,4.34,260002,children,children
424001,191170,4690,"Giggle, Giggle, Quack",,"Doreen Cronin, Betsy Lewin",4.19,22766,children,children
424101,192214,8636,Vector Prime,Star Wars: The New Jedi Order,R.A. Salvatore,3.79,12125,science-fiction,science-fiction
424220,192341,5397,The Starter Wife,,Gigi Levangie Grazer,3.51,17715,chick lit,romance
424303,192510,7639,درخت زیبای من,,"José Mauro de Vasconcelos, قاسم صنعوی",4.36,15091,children,drama
424410,192888,9389,Clouds of Witness,Lord Peter Wimsey,Dorothy L. Sayers,4.04,13682,mystery,mystery
424510,192892,6017,Unnatural Death,Lord Peter Wimsey,Dorothy L. Sayers,4.11,18764,mystery,mystery
424611,192893,4290,Whose Body? ,Lord Peter Wimsey,Dorothy L. Sayers,3.91,31112,mystery,mystery
424706,193093,3051,Stone Soup,,Marcia Brown,4.23,37755,children,children
424811,193755,2247,The Diving Bell and the Butterfly,,"Jean-Dominique Bauby, Jeremy Leggatt",4.01,45508,classic,drama
424924,194086,6300,Sleeping Arrangements,,Madeleine Wickham,3.24,18185,chick lit,romance
425008,194366,3594,The Return of Sherlock Holmes,,Arthur Conan Doyle,4.3,37400,crime,classic
425101,194373,1461,The Memoirs of Sherlock Holmes,,Arthur Conan Doyle,4.32,65984,mystery,classic
425201,194479,7521,Crisis on Infinite Earths,,"Marv Wolfman, George Pérez",4.01,13350,classic,fantasy
425311,194618,8627,Ross Poldark,Poldark,Winston Graham,4.11,13540,historical,historical
425401,194755,5311,Esio Trot,,"Roald Dahl, Quentin Blake",3.74,25196,children,children
425503,194808,8733,To Build a Fire,,Jack London,3.92,12653,classic,adventure
425601,194870,8699,The Complete Adventures of Peter Rabbit,,Beatrix Potter,4.46,13387,classic,children
425725,196613,3149,Skinny Bitch,,"Rory Freedman, Kim Barnouin",3.34,29089,chick lit,humor
425861,196764,4274,A Piece of Cake,,Cupcake Brown,4.15,21149,drama,0
425901,196951,6514,The Hat,,Jan Brett,4.25,17336,children,children
426001,196970,1274,The Night Before Christmas,,"Clement C. Moore, Jan Brett",4.36,89843,children,classic
426101,197084,579,Are You My Mother?,,P.D. Eastman,4.16,177809,children,children
426201,197436,7646,Ralph S. Mouse by Beverly Cleary: Teacher Guide,Novel Units),Gloria Levine,3.95,14513,children,children
426301,197457,7846,The Sight,Warriors: Power of Three,Erin Hunter,4.27,16891,fantasy,young adult
426401,197459,6197,Sunset,Warriors: The New Prophecy,Erin Hunter,4.35,21076,fantasy,young adult
426501,197512,6084,The Pigeon Finds a Hot Dog!,,Mo Willems,4.35,20790,children,children
426601,198331,5764,Valhalla Rising,Dirk Pitt,Clive Cussler,3.92,18552,adventure,science-fiction
426708,198332,5010,Inca Gold,Dirk Pitt,Clive Cussler,3.96,21678,adventure,thriller
426810,198511,8738,Dear Theo,,"Vincent van Gogh, Irving Stone, Jean   Stone",4.09,9761,history,classic
426907,198863,8855,"Screw It, Let's Do It: Lessons In Life",,Richard Branson,3.93,9297,adventure,0
427001,199530,7572,Can't Wait to Get to Heaven,,Fannie Flagg,3.89,14190,humor,chick lit
427103,199531,9639,Daisy Fay and the Miracle Man ,,Fannie Flagg,3.94,11725,humor,chick lit
427208,199532,9406,A Redbird Christmas,,Fannie Flagg,3.86,12611,humor,chick lit
427303,199687,5434,Second Helpings,Jessica Darling,Megan McCafferty,4.08,23834,young adult,young adult
427403,199782,5445,Queen of Babble in the Big City,Queen of Babble,Meg Cabot,3.77,25075,chick lit,romance
427501,199785,5372,Reunion,The Mediator,Meg Cabot,4.09,30937,young adult,paranormal
427601,199786,5194,Ninth Key,The Mediator,Meg Cabot,4.07,32154,young adult,paranormal
427708,200572,4222,My Man Jeeves,Jeeves,P.G. Wodehouse,4.13,26687,classic,classic
427803,200963,9383,Meet Samantha: An American Girl,American Girls: Samantha,"Susan S. Adler, Renée Graef, Nancy Niles",3.95,15997,historical,children
427903,201114,2980,Sold,,Patricia McCormick,4.19,38446,young adult,young adult
428001,201126,3094,We're Going on a Bear Hunt,,"Michael Rosen, Helen Oxenbury",4.27,34254,children,children
428101,201138,9803,The Berenstain Bears and Too Much TV,,"Stan Berenstain, Jan Berenstain",4.0,11242,children,children
428201,201145,9796,A Kiss for Little Bear,An I Can Read Book) by Minarik,"Else Holmelund Minarik, Maurice Sendak",4.31,11604,children,children
428301,201146,2467,Little Bear,,"Else Holmelund Minarik, Maurice Sendak",4.22,47541,children,children
428401,201175,4757,Rapture in Death,In Death,"J.D. Robb, Susan Ericksen",4.26,31440,mystery,romance
428501,201341,1809,Mossflower,Redwall,Brian Jacques,4.09,58425,fantasy,young adult
428601,201342,4460,Mattimeo,Redwall,Brian Jacques,4.02,27627,fantasy,young adult
428701,201345,3562,Martin the Warrior,Redwall,Brian Jacques,4.13,35402,fantasy,young adult
428806,202146,6038,Flyboys: A True Story of Courage,,James D. Bradley,4.15,14908,history,historical
428913,202292,5924,The First Wives Club,,Olivia Goldsmith,3.87,17754,chick lit,humor
429026,202948,9977,Ladder of Years,,Anne Tyler,3.72,12229,drama,chick lit
429111,203220,3457,Les Fleurs du Mal,,"Charles Baudelaire, Richard Howard",4.26,34683,classic,horror
429201,203288,7119,The Ship Who Sang,Brainship,Anne McCaffrey,4.0,19183,science-fiction,science-fiction
429315,203805,3881,Vincent Van Gogh: The Complete Paintings,,"Rainer Metzger, Ingo F. Walther",4.14,24224,history,historical
429401,204041,6027,"Naruto, Vol. 11: Impassioned Efforts",Naruto,"Masashi Kishimoto, Frances Wall",4.5,15408,fantasy,action
429501,204042,835,"Naruto, Vol. 01: The Tests of the Ninja",Naruto,"Masashi Kishimoto, Katy Bridges",4.35,105269,fantasy,young adult
429601,204045,8202,"Naruto, Vol. 05: Exam Hell",Naruto,Masashi Kishimoto,4.44,13313,fantasy,action
429715,204276,2383,Split Second,Sean King & Michelle Maxwell,David Baldacci,3.98,44168,mystery,thriller
429809,204479,8646,Spying in High Heels,High Heels,Gemma Halliday,3.67,14015,mystery,romance
429901,204779,6385,The Masque of the Red Death,,Edgar Allan Poe,4.08,20338,classic,horror
430008,205218,9649,Ethics,,"Baruch Spinoza, Edwin M. Curley, Stuart Hampshire, Edwin Curley",4.01,9913,classic,classic
430101,205330,2438,There Was an Old Lady Who Swallowed a Fly,,Simms Taback,4.2,41902,children,children
430203,205476,3364,Our Town,,"Thornton Wilder, Donald Margulies, Tappan Wilder",3.63,36824,classic,drama
430303,205821,3390,Caddie Woodlawn ,Caddie Woodlawn #1),Carol Ryrie Brink,3.99,39183,children,historical
430401,206172,2468,The Pit and the Pendulum,,Edgar Allan Poe,4.15,47612,classic,horror
430508,206193,6821,Takedown,Scot Harvath,Brad Thor,4.26,15051,thriller,thriller
430608,206195,5235,State of the Union,Scot Harvath,Brad Thor,4.2,18501,thriller,thriller
430701,206196,4523,The Lions of Lucerne,Scot Harvath,Brad Thor,4.04,22883,thriller,thriller
430808,206197,5839,The First Commandment,Scot Harvath,Brad Thor,4.22,16540,thriller,thriller
430916,206236,6809,The Power of the Dog,,Don Winslow,4.36,14269,crime,thriller
431101,206682,4633,Dexter in the Dark,Dexter,Jeff Lindsay,3.49,25629,mystery,crime
431209,206731,5387,The Tibetan Book of Living and Dying,,"Sogyal Rinpoche, Andrew Harvey",4.22,18380,classic,0
431301,206962,3274,Hop On Pop,,Dr. Seuss,3.95,40069,children,children
431401,207034,5890,The Prophet of Yonwood,Book of Ember,Jeanne DuPrau,3.25,23844,young adult,fantasy
431503,207153,1742,Shiloh,Shiloh,Phyllis Reynolds Naylor,3.91,62062,children,young adult
431601,207266,4766,The Adventures of Captain Underpants,Captain Underpants,Dav Pilkey,3.84,24414,children,humor
431701,207365,9382,Claimed By Shadow,Cassandra Palmer,Karen Chance,3.98,19203,fantasy,paranormal
431803,207569,4525,The Sign of the Beaver,,Elizabeth George Speare,3.77,25600,historical,young adult
431901,207684,7308,Jinx,,Meg Cabot,3.72,23372,young adult,fantasy
432003,207687,8211,Big Boned,Heather Wells,Meg Cabot,3.84,18715,chick lit,mystery
432108,207694,7763,The Nanny,,Melissa Nathan,3.78,11250,chick lit,romance
432219,207781,4785,"The Art Spirit: Notes, Articles, Fragments of Letters and Talks to Students, Bearing on the Concept and Technique of Picture Making, the Study of Art",Icon Editions),"Robert Henri, Forbes Watson, Margery A. Ryerson",3.87,16547,historical,0
432303,207802,5066,"Ida B. . . and Her Plans to Maximize Fun, Avoid Disaster, and",Possibly) Save the World,Katherine Hannigan,3.86,20914,children,young adult
432409,208036,8472,Metaphysics,,"Aristotle, Joe Sachs",4.0,10645,classic,history
432504,208146,7720,Grandfather's Journey,,Allen Say,4.12,13547,children,historical
432610,208324,9997,Means of Ascent,The Years of Lyndon Johnson,Robert A. Caro,4.25,12952,history,historical
432710,209194,1732,The Man in the Brown Suit,,Agatha Christie,3.97,58728,mystery,crime
432801,209631,9800,Cinderella,,"Loek Koopmans, Charles Perrault, Anthea Bell",4.22,9842,classic,children
432901,209966,8826,"Planetary, Volume 1: All Over the World and Other Stories",,"Warren Ellis, John Cassaday",4.21,12544,science-fiction,science-fiction
433001,210243,8542,Origin in Death,In Death,J.D. Robb,4.34,18687,mystery,romance
433101,210329,3063,The Dark Is Rising,The Dark is Rising,Susan Cooper,4.07,43237,young adult,young adult
433210,210404,5068,A Sand County Almanac and Sketches Here and There,,Aldo Leopold,4.24,19142,classic,history
433303,210834,4716,Kim,,"Rudyard Kipling, Edward Said",3.72,26764,classic,classic
433406,211099,4536,"Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way",,Richard Branson,3.97,28791,adventure,history
433508,212525,7620,Ethan Frome and Other Short Fiction,,"Edith Wharton, Mary Gordon",3.65,14319,classic,classic
433710,213367,3331,Desiring God: Meditations of a Christian Hedonist,,John Piper,4.19,25962,classic,0
433801,213647,3052,The Warrior Heir,The Heir Chronicles,Cinda Williams Chima,3.95,41907,fantasy,young adult
433901,213753,1095,Life As We Knew It,Last Survivors,Susan Beth Pfeffer,3.89,98669,young adult,young adult
434001,213975,6923,Witness in Death,In Death,"J.D. Robb, Susan Ericksen",4.3,22479,mystery,romance
434103,214332,3591,The Case for Faith: A Journalist Investigates the Toughest Objections to Christianity,,Lee Strobel,4.17,24951,young adult,classic
434228,214333,8707,The Case for a Creator: A Journalist Investigates Scientific Evidence That Points Toward God,,Lee Strobel,4.1,9689,history,0
434301,214579,9790,The Story of B: An Adventure of the Mind and Spirit,,Daniel Quinn,4.11,8088,history,classic
434408,214614,3024,Desert Solitaire,,Edward Abbey,4.22,29658,adventure,classic
434501,214856,6956,Leven Thumps and the Gateway to Foo,Leven Thumps,Obert Skye,3.71,18044,fantasy,young adult
434612,215492,7607,Lord Edgware Dies,Hercule Poirot,Agatha Christie,3.88,18696,mystery,crime
434701,215539,4665,The Pilgrims of Rayne,Pendragon,D.J. MacHale,4.14,22047,fantasy,young adult
434801,215540,5946,The Quillan Games,Pendragon,D.J. MacHale,4.19,18876,fantasy,young adult
434901,215541,6133,The Reality Bug,Pendragon,D.J. MacHale,4.15,19539,fantasy,young adult
435001,215542,5136,The Rivers of Zadaa,Pendragon,D.J. MacHale,4.19,20945,fantasy,young adult
435101,215543,4230,The Lost City of Faar,Pendragon,D.J. MacHale,4.16,26256,fantasy,young adult
435203,215631,5211,Pay It Forward,,Catherine Ryan Hyde,4.15,19556,drama,young adult
435301,215643,7983,Visions of Heat,Psy-Changeling #2),Nalini Singh,4.13,25542,paranormal,romance
435405,216048,7364,"Thank You, Mr. Falker",,Patricia Polacco,4.52,13604,children,children
435515,216131,6185,Secret Prey,Lucas Davenport,John Sandford,4.25,18502,mystery,thriller
435616,216304,5234,A Woman After God's Own Heart,,Elizabeth George,4.29,16482,romance,0
435701,216363,974,The Man in the High Castle,,Philip K. Dick,3.66,108388,science-fiction,science-fiction
435801,216377,5326,VALIS,VALIS Trilogy,Philip K. Dick,3.94,18949,science-fiction,science-fiction
435901,216422,2977,The Last Command,,Timothy Zahn,4.2,35623,science-fiction,science-fiction
436001,216442,2640,Dark Force Rising,,Timothy Zahn,4.14,39976,science-fiction,science-fiction
436101,216443,1862,Heir to the Empire,Star Wars: The Thrawn Trilogy #1),Timothy Zahn,4.12,54423,science-fiction,science-fiction
436203,217376,6378,"The Wallflower, Vol. 1",The Wallflower,"Tomoko Hayakawa, David Ury",4.15,16545,romance,humor
436322,217432,3042,Between Sisters,,Kristin Hannah,4.0,31393,chick lit,romance
436411,217433,6757,Home Again,,Kristin Hannah,3.95,15526,chick lit,romance
436523,217436,4133,On Mystic Lake,,Kristin Hannah,3.95,25050,romance,chick lit
436620,218357,3021,The Space Between Us,,Thrity Umrigar,3.98,32348,historical,drama
436701,218427,3541,Gateway,Heechee Saga,Frederik Pohl,4.07,31975,science-fiction,science-fiction
436801,218467,2873,Lucifer's Hammer,,"Larry Niven, Jerry Pournelle",3.98,34997,science-fiction,sci-fi-fantasy
436909,218659,6863,Everything That Rises Must Converge: Stories,,"Flannery O'Connor, Robert Fitzgerald",4.27,15025,classic,classic
437001,219205,3360,Lord Foul's Bane,The Chronicles of Thomas Covenant the Unbeliever,Stephen R. Donaldson,3.71,34944,fantasy,sci-fi-fantasy
437101,219499,6456,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories ,,"Robert Louis Stevenson, Jenny Davidson",3.96,25784,classic,science-fiction
437201,219535,6280,The Other,,Thomas Tryon,3.99,16670,horror,mystery
437309,219919,5717,The Robe,,Lloyd C. Douglas,4.2,19480,historical,classic
437410,220826,4943,Kürk Mantolu Madonna,,Sabahattin Ali,4.49,21803,classic,romance
437508,220968,1358,One Shot,Jack Reacher,Lee Child,4.2,71439,thriller,mystery
437608,220969,1424,Die Trying,Jack Reacher,Lee Child,4.0,73664,thriller,crime
437708,220970,1600,Tripwire ,Jack Reacher,Lee Child,4.07,67495,thriller,mystery
437834,221059,5935,JPod,,Douglas Coupland,3.7,15307,humor,humor
437901,221298,9498,The Gods of War,Emperor,Conn Iggulden,4.29,10236,historical,history
438009,222078,580,The Story of Art,,E.H. Gombrich,3.83,166453,history,classic
438103,222458,2495,Rules,,Cynthia Lord,3.96,44489,young adult,young adult
438201,222576,4650,The Grey King,The Dark Is Rising,Susan Cooper,4.18,29999,fantasy,young adult
438301,223380,5125,Stories of Your Life and Others,,Ted Chiang,4.27,24581,science-fiction,fantasy
438425,223462,6579,Gods in Alabama,,Joshilyn Jackson,3.86,16469,humor,chick lit
438508,223838,4945,In His Steps,,Charles M. Sheldon,4.15,19339,classic,classic
438601,224410,4765,Dracula,Marvel Illustrated),"Roy Thomas, Dick Giordano, Mark D. Beazley, Bram Stoker",3.93,14729,classic,horror
438701,224500,2861,Point Blank,Alex Rider,Anthony Horowitz,4.1,42482,young adult,adventure
438801,225038,4844,Half Magic,Tales of Magic,"Edward Eager, N.M. Bodecker",3.94,29719,fantasy,children
438908,225343,8384,Heartburn,,Nora Ephron,3.57,14448,humor,humor
439001,225545,5438,A Color of His Own,,Leo Lionni,4.25,17884,children,children
439103,225774,4535,National Velvet,,Enid Bagnold,4.09,23157,classic,young adult
439201,226004,4726,A Deepness in the Sky,Zones of Thought,Vernor Vinge,4.32,23477,science-fiction,science-fiction
439301,226162,1829,The Omen,,David Seltzer,3.99,50574,horror,paranormal
439415,226315,9875,The Next Big Thing,,Johanna Edwards,3.68,8954,chick lit,romance
439509,226378,3139,A Hero of Our Time,,"Mikhail Lermontov, Paul Foote",4.11,33953,classic,classic
439603,226706,3375,If There Be Thorns,Dollanganger,V.C. Andrews,3.75,35445,horror,young adult
439703,226709,2740,Petals on the Wind,Dollanganger,V.C. Andrews,3.82,44314,horror,young adult
439807,226791,3945,Total Control,,David Baldacci,4.06,26728,thriller,mystery
439922,226858,8094,What We Keep ,,Elizabeth Berg,3.91,13320,chick lit,historical
440001,227265,1283,Ishmael:A Novel,,Daniel Quinn,3.97,65968,classic,fantasy
440118,227280,9416,I Do -- But I Don't,,Cara Lockwood,3.66,9388,chick lit,romance
440213,227443,75,Bridget Jones's Diary,Bridget Jones,Helen Fielding,3.75,754498,chick lit,romance
440301,227454,4257,The Legacy,Forgotten Realms: Legacy of the Drow,R.A. Salvatore,4.18,23034,fantasy,sci-fi-fantasy
440401,227463,173,A Clockwork Orange,,Anthony Burgess,3.98,454391,science-fiction,classic
440515,227492,9080,Friends and Lovers,,Eric Jerome Dickey,4.21,9107,romance,chick lit
440601,227570,8937,Lady Cottington's Pressed Fairy Book,,"Terry Jones, Brian Froud",3.99,12272,fantasy,humor
440703,227571,1644,Peace Like a River,,Leif Enger,3.98,61617,historical,coming-of-age
440815,227590,9155,The Other Daughter,,Lisa Gardner,3.99,13182,mystery,suspense
440922,227593,2679,Three Junes,,Julia Glass,3.56,37045,chick lit,romance
441003,227603,2229,Prozac Nation,,Elizabeth Wurtzel,3.57,46771,young adult,classic
441101,227651,1059,Among the Hidden,Shadow Children,Margaret Peterson Haddix,3.97,96951,young adult,science-fiction
441201,227658,6938,Running Out of Time,,Margaret Peterson Haddix,3.98,20326,young adult,young adult
441312,227711,304,I Know This Much Is True,,Wally Lamb,4.17,257608,drama,chick lit
441419,227729,2890,The Coffin Dancer,Lincoln Rhyme,Jeffery Deaver,4.16,36274,mystery,thriller
441501,227778,6233,Charlie Bone and the Time Twister,The Children of the Red King,Jenny Nimmo,3.88,19680,fantasy,young adult
441601,227865,1137,The Eternity Code,Artemis Fowl,Eoin Colfer,4.04,102207,fantasy,young adult
441703,227941,777,Jemima J,,Jane Green,3.62,103849,chick lit,romance
441801,228063,4179,"xxxHolic, Vol. 1",xxxHOLiC,"CLAMP, William Flanagan",4.17,23465,fantasy,supernatural
441901,228194,8829,"The Green Mile, Part 2: The Mouse on the Mile",,Stephen King,4.47,12569,horror,thriller
442001,228198,9147,"The Green Mile, Part 3: Coffey's Hands",,Stephen King,4.5,12698,horror,thriller
442101,228199,8371,"The Green Mile, Part 4: The Bad Death of Eduard Delacroix",,Stephen King,4.52,13446,horror,thriller
442201,228200,9923,"The Green Mile, Part 5: Night Journey",,Stephen King,4.51,11918,horror,thriller
442301,228220,6914,The House of Thunder,,"Leigh Nichols, Dean Koontz",3.78,15519,suspense,horror
442401,228221,7354,The Mask,,"Owen  West, Dean Koontz",3.75,14925,horror,suspense
442501,228258,3286,Tribulation Force,Left Behind,"Tim LaHaye, Jerry B. Jenkins",3.94,32195,fantasy,thriller
442601,228261,3918,Soul Harvest: The World Takes Sides,Left Behind,"Tim LaHaye, Jerry B. Jenkins",3.95,26752,fantasy,thriller
442701,228296,1247,Rosemary's Baby,,Ira Levin,3.96,84575,thriller,mystery
442803,228333,228,The Nanny Diaries,Nanny,"Emma McLaughlin, Nicola Kraus",3.4,328073,chick lit,humor
442918,228534,5095,The Weight of Water,,Anita Shreve,3.62,22568,chick lit,historical
443011,228560,1435,Sophie's Choice,,William Styron,4.18,71077,classic,historical
